"Year","Population_Size","Population","Sex"
2009,915,"Plateau","Male"
2010,904,"Plateau","Male"
2011,905,"Plateau","Male"
2012,897,"Plateau","Male"
2013,890,"Plateau","Male"
2014,889,"Plateau","Male"
2015,866,"Plateau","Male"
2016,871,"Plateau","Male"
2017,757,"Plateau","Male"
2018,818,"Plateau","Male"
2019,812,"Plateau","Male"
2020,789,"Plateau","Male"
2021,755,"Plateau","Male"
2022,734,"Plateau","Male"
2009,53,"Plateau","Female"
2010,35,"Plateau","Female"
2011,33,"Plateau","Female"
2012,41,"Plateau","Female"
2013,43,"Plateau","Female"
2014,36,"Plateau","Female"
2015,52,"Plateau","Female"
2016,39,"Plateau","Female"
2017,38,"Plateau","Female"
2018,34,"Plateau","Female"
2019,35,"Plateau","Female"
2020,35,"Plateau","Female"
2021,32,"Plateau","Female"
2022,28,"Plateau","Female"
2009,55,"Beach","Male"
2010,56,"Beach","Male"
2011,55,"Beach","Male"
2012,54,"Beach","Male"
2013,69,"Beach","Male"
2014,58,"Beach","Male"
2015,86,"Beach","Male"
2016,71,"Beach","Male"
2017,46,"Beach","Male"
2018,59,"Beach","Male"
2019,55,"Beach","Male"
2020,53,"Beach","Male"
2021,48,"Beach","Male"
2022,44,"Beach","Male"
2009,23,"Beach","Female"
2010,11,"Beach","Female"
2011,15,"Beach","Female"
2012,12,"Beach","Female"
2013,17,"Beach","Female"
2014,22,"Beach","Female"
2015,20,"Beach","Female"
2016,22,"Beach","Female"
2017,14,"Beach","Female"
2018,23,"Beach","Female"
2019,24,"Beach","Female"
2020,25,"Beach","Female"
2021,21,"Beach","Female"
2022,15,"Beach","Female"
2009,228,"Konjsko","Male"
2010,228,"Konjsko","Male"
2011,228,"Konjsko","Male"
2012,273,"Konjsko","Male"
2013,259,"Konjsko","Male"
2014,268,"Konjsko","Male"
2015,234,"Konjsko","Male"
2016,226,"Konjsko","Male"
2017,249,"Konjsko","Male"
2018,190,"Konjsko","Male"
2019,211,"Konjsko","Male"
2020,412,"Konjsko","Male"
2021,283,"Konjsko","Male"
2022,156,"Konjsko","Male"
2009,245,"Konjsko","Female"
2010,245,"Konjsko","Female"
2011,245,"Konjsko","Female"
2012,291,"Konjsko","Female"
2013,667,"Konjsko","Female"
2014,215,"Konjsko","Female"
2015,270,"Konjsko","Female"
2016,394,"Konjsko","Female"
2017,398,"Konjsko","Female"
2018,422,"Konjsko","Female"
2019,345,"Konjsko","Female"
2020,187,"Konjsko","Female"
2021,373,"Konjsko","Female"
2022,500,"Konjsko","Female"
